time,vt_average,vt_std_dev,vt_margin_of_error
29500000000.0,1.3722581600991019e-09,9.56041929097721e-10,1.873807748741729e-10
29600000000.0,1.3357360044289479e-09,9.360277334599287e-10,1.8345806461121174e-10
29700000000.0,1.3000988310824503e-09,9.163752165768854e-10,1.7960624208157873e-10
29800000000.0,1.2654198869738767e-09,8.971007081949311e-10,1.7582850785674415e-10
29900000000.0,1.231583775690508e-09,8.781619067621626e-10,1.7211657098488595e-10
30000000000.0,1.1986381980768238e-09,8.595299392682118e-10,1.6846477245995949e-10
30100000000.0,1.1666236787142397e-09,8.41275533769426e-10,1.648869747262785e-10
30200000000.0,1.1353922490844403e-09,8.233862097406486e-10,1.6138073164586144e-10
30300000000.0,1.1049641668865137e-09,8.057643357214409e-10,1.579269078040865e-10
30400000000.0,1.0751748224442816e-09,7.886494430726701e-10,1.545724504850005e-10
30500000000.0,1.045650227884181e-09,7.725330763523093e-10,1.514137006516458e-10
30600000000.0,1.0162744483951265e-09,7.574416064964872e-10,1.4845582691252746e-10
30700000000.0,9.873193060399103e-10,7.430636536139185e-10,1.4563779993040262e-10
30800000000.0,9.592878820572254e-10,7.287248860743489e-10,1.4282745313437777e-10
30900000000.0,9.328675898890992e-10,7.135912086981375e-10,1.3986130687327547e-10
31000000000.0,9.073473247349893e-10,6.984520051142137e-10,1.3689407749536445e-10
31100000000.0,8.818788048265118e-10,6.843279269133649e-10,1.3412580903651536e-10
31200000000.0,8.564412918066311e-10,6.711663905556706e-10,1.3154619531228584e-10
31300000000.0,8.321457806511083e-10,6.578719986864143e-10,1.2894054238627537e-10
31400000000.0,8.095563748226502e-10,6.435693329580275e-10,1.2613727141522003e-10
31500000000.0,7.877364788530328e-10,6.292508691231188e-10,1.2333090407218397e-10
31600000000.0,7.662347491698857e-10,6.154376651423239e-10,1.2062356584083768e-10
31700000000.0,7.442637025336098e-10,6.030111183250056e-10,1.181880074194232e-10
31800000000.0,7.228708428779465e-10,5.910388078479447e-10,1.158414776847461e-10
31900000000.0,7.03070177937276e-10,5.781001852298351e-10,1.1330555425064109e-10
32000000000.0,6.837719684047499e-10,5.653642851398917e-10,1.1080936370194214e-10
32100000000.0,6.647045163931334e-10,5.532531375589927e-10,1.0843562239494098e-10
32200000000.0,6.464304331238333e-10,5.410739666982603e-10,1.0604854877008147e-10
32300000000.0,6.284735773698266e-10,5.291613942884421e-10,1.0371372748143456e-10
32400000000.0,6.105544230782666e-10,5.179909488088442e-10,1.0152436039830654e-10
32500000000.0,5.936041177924885e-10,5.066704810024119e-10,9.93055894794313e-11
32600000000.0,5.775427129260224e-10,4.950996302631573e-10,9.703774440748853e-11
32700000000.0,5.619027621029717e-10,4.837795667533272e-10,9.481905272929122e-11
32800000000.0,5.466539968918746e-10,4.726544399741025e-10,9.263856794821898e-11
32900000000.0,5.317805195015525e-10,4.617603586720071e-10,9.050336724854315e-11
33000000000.0,5.173572020410713e-10,4.511202327314086e-10,8.84179408850888e-11
33100000000.0,5.026111390582182e-10,4.4136536513985523e-10,8.650602196974865e-11
33200000000.0,4.873197380668854e-10,4.328375137998014e-10,8.483459382054694e-11
33300000000.0,4.727768481315e-10,4.2408573003490147e-10,8.311927572257832e-11
33400000000.0,4.5916159430873707e-10,4.1486835397810267e-10,8.131270321224956e-11
33500000000.0,4.463092277267056e-10,4.0553086092291565e-10,7.948258820284363e-11
33600000000.0,4.3417588222290505e-10,3.960129055829561e-10,7.761710323556548e-11
33700000000.0,4.2235493658669465e-10,3.8669543686644734e-10,7.579091292442191e-11
33800000000.0,4.0992817678574856e-10,3.783161671758888e-10,7.414860624339762e-11
33900000000.0,3.968001032128777e-10,3.7118153934265445e-10,7.275024488377399e-11
34000000000.0,3.8459184528232363e-10,3.638576670976627e-10,7.131479230101835e-11
34100000000.0,3.7241636491759594e-10,3.562924176827702e-10,6.983203066229316e-11
34200000000.0,3.587274333898446e-10,3.50360568450702e-10,6.866940957663563e-11
34300000000.0,3.4643313486423616e-10,3.442987731729768e-10,6.748131953403599e-11
34400000000.0,3.363446067891648e-10,3.365786954779587e-10,6.596821211002735e-11
34500000000.0,3.2657168119190194e-10,3.2908258993290006e-10,6.449900242076474e-11
34600000000.0,3.170010507340518e-10,3.217416320473059e-10,6.306020111398577e-11
34700000000.0,3.0679355881369057e-10,3.151211825140795e-10,6.176261684932689e-11
34800000000.0,2.964982182086085e-10,3.089854719431511e-10,6.056003967546875e-11
34900000000.0,2.8767120535196906e-10,3.021220838929052e-10,5.92148403364283e-11
35000000000.0,2.795736354686682e-10,2.948123670803253e-10,5.778216216744394e-11
35100000000.0,2.707888444534701e-10,2.8815376625154996e-10,5.647710038626112e-11
35200000000.0,2.616786966622775e-10,2.822743142560633e-10,5.5324748970262525e-11
35300000000.0,2.517242944153605e-10,2.7702681709996833e-10,5.429625842677027e-11
35400000000.0,2.418872494285103e-10,2.722813440276739e-10,5.3366162795640106e-11
35500000000.0,2.3393372386817666e-10,2.665877413050534e-10,5.225023716777857e-11
35600000000.0,2.2544000738242008e-10,2.6104684514159373e-10,5.116424147553285e-11
35700000000.0,2.1686903981407605e-10,2.562255533976871e-10,5.021928565783112e-11
35800000000.0,2.0999678774455198e-10,2.5051738892436394e-10,4.9100505979276675e-11
35900000000.0,2.0391902170403224e-10,2.445662493461001e-10,4.793410405523987e-11
36000000000.0,1.9721314242156435e-10,2.390356643845109e-10,4.6850129321424507e-11
36100000000.0,1.8903122130349962e-10,2.346341180357332e-10,4.5987442089435696e-11
36200000000.0,1.8025952442022423e-10,2.3056709452344382e-10,4.519032012859922e-11
36300000000.0,1.724500836839886e-10,2.2627729516030348e-10,4.434953490333343e-11
